snr_db,gamma_eff,chi,BER_Net,BER_Net_std,BER_LMMSE,BER_GAMP,NMSE_Net,RMSE_R,RMSE_R_std,RMSE_v,RMSE_a,BCRLB_R_ref,BCRLB_R_analog
-5,1000000000.0,0.5710050573003417,,0.0,0.2871246337890625,0.28714447021484374,,,0.0,,,2.6990623653521483e-08,8.800205809954355e-09
-3,1000000000.0,0.5385400364509147,,0.0,0.23949203491210938,0.23949127197265624,,,0.0,,,1.9145064696418228e-08,5.552554488727969e-09
-1,1000000000.0,0.49402331456484533,,0.0,0.18707427978515626,0.18706283569335938,,,0.0,,,1.435482620219361e-08,3.503425035289376e-09
1,1000000000.0,0.43679827574701646,,0.0,0.13086395263671874,0.130859375,,,0.0,,,1.1585932619314299e-08,2.2105117568516117e-09
3,1000000000.0,0.3690466240633442,,0.0,0.0789337158203125,0.0789276123046875,,,0.0,,,1.0240716779981713e-08,1.3947386280453397e-09
5,1000000000.0,0.29622495709231156,,0.0,0.03795166015625,0.03795318603515625,,,0.0,,,1.0028813119957807e-08,8.800205809954355e-10
7,1000000000.0,0.2256544447621925,,0.0,0.012659454345703125,0.012660980224609375,,,0.0,,,1.0904482112870359e-08,5.552554488727968e-10
9,1000000000.0,0.1638057265599695,,0.0,0.002384185791015625,0.002381134033203125,,,0.0,,,1.3056737361991765e-08,3.503425035289376e-10
11,1000000000.0,0.11419832002191735,,0.0,0.000196075439453125,0.000197601318359375,,,0.0,,,1.695014427067682e-08,2.2105117568516116e-10
13,1000000000.0,0.07716239845639927,,0.0,7.62939453125e-07,7.62939453125e-07,,,0.0,,,2.3425096690621002e-08,1.3947386280453396e-10
15,1000000000.0,0.050965904592253274,,0.0,0.0,0.0,,,0.0,,,3.3879216276723445e-08,8.800205809954355e-11
17,1000000000.0,0.03313630695949572,,0.0,0.0,0.0,,,0.0,,,5.05690295972698e-08,5.5525544887279686e-11
19,1000000000.0,0.02131707251565156,,0.0,0.0,0.0,,,0.0,,,7.709703991588699e-08,3.503425035289376e-11
21,1000000000.0,0.01361845153039582,,0.0,0.0,0.0,,,0.0,,,1.1918932772355544e-07,2.2105117568516114e-11
23,1000000000.0,0.008661037123443256,,0.0,0.0,0.0,,,0.0,,,1.8593152393713628e-07,1.3947386280453403e-11
25,1000000000.0,0.005492321043912631,,0.0,0.0,0.0,,,0.0,,,2.9172993728447894e-07,8.800205809954353e-12
